,index,player_id,pretty_name,club_pretty_name,_name_and_club,index,pt_name,pt_team,_name_and_club,TRUSTWORTH
198,425,56790,Nenad Krsticic,Sampdoria Genua,Nenad Krsticic Sampdoria Genua,3369,KRSTICIC,sampdoria,KRSTICIC sampdoria,True
201,428,7096,Daniele Gastaldello,Sampdoria Genua,Daniele Gastaldello Sampdoria Genua,1719,GASTALDELLO,siena,GASTALDELLO siena,True
204,432,109038,Dodo,Sampdoria Genua,Dodo Sampdoria Genua,5525,DODÒ,roma,DODÒ roma,True
209,440,21859,Mattia Cassani,Sampdoria Genua,Mattia Cassani Sampdoria Genua,2118,CASSANI,palermo,CASSANI palermo,True
213,448,34283,Lazaros Christodoulopoulos,Sampdoria Genua,Lazaros Christodoulopoulos Sampdoria Genua,5471,CHRISTODOULO,bologna,CHRISTODOULO bologna,True
214,450,44059,Ervin Zukanovic,Sampdoria Genua,Ervin Zukanovic Sampdoria Genua,7108,ZUKANOVIC E.,chievo,ZUKANOVIC E. chievo,True
215,451,44327,Andrea Ranocchia,Sampdoria Genua,Andrea Ranocchia Sampdoria Genua,4065,RANOCCHIA A.,bari,RANOCCHIA A. bari,True
216,452,5017,Niklas Moisander,Sampdoria Genua,Niklas Moisander Sampdoria Genua,7485,MOISANDER,sampdoria,MOISANDER sampdoria,True
220,461,123742,Gaston Ramirez,Sampdoria Genua,Gaston Ramirez Sampdoria Genua,4626,RAMIREZ G.,bologna,RAMIREZ G. bologna,True
222,463,146752,Gianluca Caprari,Sampdoria Genua,Gianluca Caprari Sampdoria Genua,5443,CAPRARI G.,pescara,CAPRARI G. pescara,True
225,468,22328,Fabio Quagliarella,Sampdoria Genua,Fabio Quagliarella Sampdoria Genua,1898,QUAGLIARELLA,ascoli,QUAGLIARELLA ascoli,True
226,469,225873,Karol Linetty,Sampdoria Genua,Karol Linetty Sampdoria Genua,7994,LINETTY K.,sampdoria,LINETTY K. sampdoria,True
227,470,226524,Morten Thorsby,Sampdoria Genua,Morten Thorsby Sampdoria Genua,9951,THORSBY M.,sampdoria,THORSBY M. sampdoria,True
229,473,256339,Emil Audero,Sampdoria Genua,Emil Audero Sampdoria Genua,7715,AUDERO E.,juventus,AUDERO E. juventus,True
231,475,284595,Tommaso Augello,Sampdoria Genua,Tommaso Augello Sampdoria Genua,9445,AUGELLO T.,sampdoria,AUGELLO T. sampdoria,True
232,476,287876,Antonino La Gumina,Sampdoria Genua,Antonino La Gumina Sampdoria Genua,7409,LA GUMINA A.,palermo,LA GUMINA A. palermo,True
233,477,303219,Julian Chabot,Sampdoria Genua,Julian Chabot Sampdoria Genua,9530,CHABOT J.,sampdoria,CHABOT J. sampdoria,True
234,478,319160,Jakub Jankto,Sampdoria Genua,Jakub Jankto Sampdoria Genua,7960,JANKTO J.,udinese,JANKTO J. udinese,True
235,479,324282,Fabio Depaoli,Sampdoria Genua,Fabio Depaoli Sampdoria Genua,7836,DEPAOLI F.,chievo,DEPAOLI F. chievo,True
236,480,348601,Mehdi Leris,Sampdoria Genua,Mehdi Leris Sampdoria Genua,8584,LERIS M.,chievo,LERIS M. chievo,True
239,485,81789,Maya Yoshida,Sampdoria Genua,Maya Yoshida Sampdoria Genua,9993,YOSHIDA M.,sampdoria,YOSHIDA M. sampdoria,True
240,486,99227,Andrea Bertolacci,Sampdoria Genua,Andrea Bertolacci Sampdoria Genua,4239,BERTOLACCI A,lecce,BERTOLACCI A lecce,True
241,491,159883,Ernesto Torregrossa,Sampdoria Genua,Ernesto Torregrossa Sampdoria Genua,9958,TORREGROSSA,brescia,TORREGROSSA brescia,True
243,507,540941,Mikkel Damsgaard,Sampdoria Genua,Mikkel Damsgaard Sampdoria Genua,10145,DAMSGAARD M.,sampdoria,DAMSGAARD M. sampdoria,True
245,509,574495,Kristoffer Askildsen,Sampdoria Genua,Kristoffer Askildsen Sampdoria Genua,9443,ASKILDSEN K.,sampdoria,ASKILDSEN K. sampdoria,True
246,513,129588,Dennis Praet,Sampdoria Genua,Dennis Praet Sampdoria Genua,8127,PRAET D.,sampdoria,PRAET D. sampdoria,True
247,516,19671,Daniel Pavlovic,Sampdoria Genua,Daniel Pavlovic Sampdoria Genua,7525,PAVLOVIC D.,frosinone,PAVLOVIC D. frosinone,True
248,518,204069,Milan Skriniar,Sampdoria Genua,Milan Skriniar Sampdoria Genua,7615,SKRINIAR M.,sampdoria,SKRINIAR M. sampdoria,True
251,525,318077,Lucas Torreira,Sampdoria Genua,Lucas Torreira Sampdoria Genua,8220,TORREIRA L.,sampdoria,TORREIRA L. sampdoria,True
252,527,46413,Ante Budimir,Sampdoria Genua,Ante Budimir Sampdoria Genua,7767,BUDIMIR A.,sampdoria,BUDIMIR A. sampdoria,True
256,542,208167,Dawid Kownacki,Sampdoria Genua,Dawid Kownacki Sampdoria Genua,8562,KOWNACKI D.,sampdoria,KOWNACKI D. sampdoria,True
257,546,260827,Joachim Andersen,Sampdoria Genua,Joachim Andersen Sampdoria Genua,8270,ANDERSEN J.,sampdoria,ANDERSEN J. sampdoria,True
259,548,315852,Mirko Antonucci,Sampdoria Genua,Mirko Antonucci Sampdoria Genua,9439,ANTONUCCI M.,roma,ANTONUCCI M. roma,True
263,563,163222,Gregoire Defrel,Sampdoria Genua,Gregoire Defrel Sampdoria Genua,6677,DEFREL G.,cesena,DEFREL G. cesena,True
267,577,88909,Riccardo Saponara,Sampdoria Genua,Riccardo Saponara Sampdoria Genua,6442,SAPONARA R.,milan,SAPONARA R. milan,True
272,600,52312,Sebastian Giovinco,Sampdoria Genua,Sebastian Giovinco Sampdoria Genua,2784,GIOVINCO,empoli,GIOVINCO empoli,True
277,621,102017,Jorginho,Ssc Neapel,Jorginho Ssc Neapel,6222,JORGINHO F.,napoli,JORGINHO F. napoli,True
278,623,126656,Faouzi Ghoulam,Ssc Neapel,Faouzi Ghoulam Ssc Neapel,6174,GHOULAM F.,napoli,GHOULAM F. napoli,True
281,626,15452,Raul Albiol,Ssc Neapel,Raul Albiol Ssc Neapel,5946,ALBIOL R.,napoli,ALBIOL R. napoli,True
282,627,19041,Gokhan Inler,Ssc Neapel,Gokhan Inler Ssc Neapel,2803,INLER,udinese,INLER udinese,True
284,629,278531,Sebastiano Luperto,Ssc Neapel,Sebastiano Luperto Ssc Neapel,9164,LUPERTO S.,napoli,LUPERTO S. napoli,True
286,631,35491,Mariano Andujar,Ssc Neapel,Mariano Andujar Ssc Neapel,1500,ANDUJAR,palermo,ANDUJAR palermo,True
287,632,37941,Camilo Zuniga,Ssc Neapel,Camilo Zuniga Ssc Neapel,3625,ZUNIGA C.,siena,ZUNIGA C. siena,True
288,633,38593,Marek Hamsik,Ssc Neapel,Marek Hamsik Ssc Neapel,2798,HAMSIK M.,napoli,HAMSIK M. napoli,True
289,634,39153,Gonzalo Higuain,Ssc Neapel,Gonzalo Higuain Ssc Neapel,6201,HIGUAIN G.,napoli,HIGUAIN G. napoli,True
290,636,52266,Walter Gargano,Ssc Neapel,Walter Gargano Ssc Neapel,2773,GARGANO,napoli,GARGANO napoli,True
292,638,56416,Dries Mertens,Ssc Neapel,Dries Mertens Ssc Neapel,6294,MERTENS D.,napoli,MERTENS D. napoli,True
293,639,61253,Jose Callejon,Ssc Neapel,Jose Callejon Ssc Neapel,6044,CALLEJON J.,napoli,CALLEJON J. napoli,True
294,640,70789,Michu,Ssc Neapel,Michu Ssc Neapel,6890,MICHU,napoli,MICHU napoli,True
297,646,123261,Vlad Chiriches,Ssc Neapel,Vlad Chiriches Ssc Neapel,7220,CHIRICHES V.,napoli,CHIRICHES V. napoli,True
298,647,126422,Allan,Ssc Neapel,Allan Ssc Neapel,5332,ALLAN M.,udinese,ALLAN M. udinese,True
300,661,124715,Nikola Maksimovic,Ssc Neapel,Nikola Maksimovic Ssc Neapel,6270,MAKSIMOVIC N,torino,MAKSIMOVIC N torino,True
301,664,126711,Kevin Malcuit,Ssc Neapel,Kevin Malcuit Ssc Neapel,9175,MALCUIT K.,napoli,MALCUIT K. napoli,True
303,667,169880,Giovanni Di Lorenzo,Ssc Neapel,Giovanni Di Lorenzo Ssc Neapel,9015,DI LORENZO G,empoli,DI LORENZO G empoli,True
304,668,181136,Piotr Zielinski,Ssc Neapel,Piotr Zielinski Ssc Neapel,5932,ZIELINSKI P.,udinese,ZIELINSKI P. udinese,True
307,673,316889,Hirving Lozano,Ssc Neapel,Hirving Lozano Ssc Neapel,9732,LOZANO H.,napoli,LOZANO H. napoli,True
310,676,400489,Eljif Elmas,Ssc Neapel,Eljif Elmas Ssc Neapel,9611,ELMAS E.,napoli,ELMAS E. napoli,True
311,679,73396,David Ospina,Ssc Neapel,David Ospina Ssc Neapel,9234,OSPINA D.,napoli,OSPINA D. napoli,True
312,680,87884,Mario Rui,Ssc Neapel,Mario Rui Ssc Neapel,6865,MARIO RUI,empoli,MARIO RUI empoli,True
313,682,96167,Amin Younes,Ssc Neapel,Amin Younes Ssc Neapel,9412,YOUNES A.,napoli,YOUNES A. napoli,True
315,691,199258,Andrea Petagna,Ssc Neapel,Andrea Petagna Ssc Neapel,6376,PETAGNA A.,milan,PETAGNA A. milan,True
316,694,257732,Amir Rrahmani,Ssc Neapel,Amir Rrahmani Ssc Neapel,9891,RRAHMANI A.,verona,RRAHMANI A. verona,True
317,698,401923,Victor Osimhen,Ssc Neapel,Victor Osimhen Ssc Neapel,10427,OSIMHEN V.,napoli,OSIMHEN V. napoli,True
320,724,84835,Emanuele Giaccherini,Ssc Neapel,Emanuele Giaccherini Ssc Neapel,4396,GIACCHERINI,cesena,GIACCHERINI cesena,True
322,752,16408,Orestis Karnezis,Ssc Neapel,Orestis Karnezis Ssc Neapel,6807,KARNEZIS O.,udinese,KARNEZIS O. udinese,True
323,761,400485,Adam Ounas,Ssc Neapel,Adam Ounas Ssc Neapel,8674,OUNAS A.,napoli,OUNAS A. napoli,True
325,776,192735,Stanislav Lobotka,Ssc Neapel,Stanislav Lobotka Ssc Neapel,9728,LOBOTKA S.,napoli,LOBOTKA S. napoli,True
330,805,128931,Giannis Fetfatzidis,Genua Cfc,Giannis Fetfatzidis Genua Cfc,6150,FETFATZIDIS,genoa,FETFATZIDIS genoa,True
331,806,149540,Zakarya Bergdich,Genua Cfc,Zakarya Bergdich Genua Cfc,6568,BERGDIC,genoa,BERGDIC genoa,True
332,807,157501,Mbaye Niang,Genua Cfc,Mbaye Niang Genua Cfc,5676,MBAYE I.,inter,MBAYE I. inter,True
333,808,167859,Stefano Sturaro,Genua Cfc,Stefano Sturaro Genua Cfc,6470,STURARO S.,genoa,STURARO S. genoa,True
334,809,169052,Edenilson,Genua Cfc,Edenilson Genua Cfc,6699,EDENILSON A.,genoa,EDENILSON A. genoa,True
338,813,34239,Aleandro Rosi,Genua Cfc,Aleandro Rosi Genua Cfc,8763,SANDRO R.,benevento,SANDRO R. benevento,True
342,819,59340,Iago Falque,Genua Cfc,Iago Falque Genua Cfc,6784,IAGO Falque,genoa,IAGO Falque genoa,True
343,820,61546,Facundo Roncaglia,Genua Cfc,Facundo Roncaglia Genua Cfc,5817,RONCAGLIA,fiorentina,RONCAGLIA fiorentina,True
345,823,74943,Juraj Kucka,Genua Cfc,Juraj Kucka Genua Cfc,4458,KUCKA J.,genoa,KUCKA J. genoa,True
346,825,85240,Eugenio Lamanna,Genua Cfc,Eugenio Lamanna Genua Cfc,6821,LAMANNA E.,genoa,LAMANNA E. genoa,True
